algo,feature_set,curve,x,y
decision_tree,reduced,pr,0.09076262083780881,0.23439667128987518
decision_tree,reduced,pr,0.08566058002148227,0.24690402476780185
decision_tree,reduced,pr,0.06713211600429646,0.2420135527589545
decision_tree,reduced,pr,0.05612244897959184,0.24617196702002356
decision_tree,reduced,pr,0.04215896885069818,0.25487012987012986
decision_tree,reduced,pr,0.03329752953813104,0.26609442060085836
decision_tree,reduced,pr,0.015843179377013964,0.2543103448275862
decision_tree,reduced,pr,0.0,1.0
decision_tree,reduced,roc,0.0,0.0
decision_tree,reduced,roc,0.0029714878664245455,0.01154672395273899
decision_tree,reduced,roc,0.006556139895762092,0.027389903329752954
decision_tree,reduced,roc,0.00971629365846756,0.03920515574650913
decision_tree,reduced,roc,0.013348112161875338,0.04833512352309345
decision_tree,reduced,roc,0.017145013324528925,0.06552094522019335
decision_tree,reduced,roc,0.021814494257481783,0.08190118152524167
decision_tree,reduced,roc,0.024550149753555173,0.08888292158968851
decision_tree,reduced,roc,0.029313963634648492,0.09935553168635876
decision_tree,reduced,roc,0.03339386364172346,0.10848549946294307
decision_tree,reduced,roc,0.03836992665613282,0.11922663802363051
decision_tree,reduced,roc,0.04178949602622456,0.1270139634801289
decision_tree,reduced,roc,0.04570431337405372,0.13506981740064447
decision_tree,reduced,roc,0.04976063014409358,0.14097744360902256
decision_tree,reduced,roc,0.05336886541046624,0.14688506981740065
decision_tree,reduced,roc,0.05855717755819164,0.16058002148227712
decision_tree,reduced,roc,0.06317949201707426,0.16702470461868957
decision_tree,reduced,roc,0.06803763884630805,0.18125671321160042
decision_tree,reduced,roc,0.07230620474966394,0.19038668098818476
decision_tree,reduced,roc,0.07657477065301983,0.20005370569280342
decision_tree,reduced,roc,0.08041883828974365,0.20945220193340494
decision_tree,reduced,roc,0.08447515505978351,0.21750805585392052
decision_tree,reduced,roc,0.08777680824469966,0.22341568206229862
decision_tree,reduced,roc,0.09254062212579299,0.23039742212674544
decision_tree,reduced,roc,0.09666768860693818,0.2387218045112782
decision_tree,reduced,roc,0.10032309034738109,0.24543501611170784
decision_tree,reduced,roc,0.10603023370987902,0.252953813104189
decision_tree,reduced,roc,0.11032238285027003,0.2593984962406015
decision_tree,reduced,roc,0.115628611183171,0.2666487647690655
decision_tree,reduced,roc,0.11857651581256043,0.2712137486573577
decision_tree,reduced,roc,0.12338749616772399,0.2787325456498389
decision_tree,reduced,roc,0.12614673490083247,0.2822234156820623
decision_tree,reduced,roc,0.13095771525599603,0.2892051557465091
decision_tree,reduced,roc,0.13534419734452752,0.296186895810956
decision_tree,reduced,roc,0.14029667712190175,0.30021482277121375
decision_tree,reduced,roc,0.14340966441053699,0.3039742212674543
decision_tree,reduced,roc,0.14904605806192958,0.3122986036519871
decision_tree,reduced,roc,0.1552012829280947,0.3233082706766917
decision_tree,reduced,roc,0.16013017946843383,0.3310955961331901
decision_tree,reduced,roc,0.16668631936419592,0.3356605800214823
decision_tree,reduced,roc,0.17048322052684953,0.341031149301826
decision_tree,reduced,roc,0.1764026130226635,0.34828141783029
decision_tree,reduced,roc,0.18043534655566823,0.35526315789473684
decision_tree,reduced,roc,0.18644907199962266,0.36009667024704617
decision_tree,reduced,roc,0.18991580784378465,0.36278195488721804
decision_tree,reduced,roc,0.19404287432492984,0.3668098818474758
decision_tree,reduced,roc,0.1985472725986369,0.3716433941997852
decision_tree,reduced,roc,0.20399500035374857,0.38238453276047263
decision_tree,reduced,roc,0.2097257269532816,0.39339419978517726
decision_tree,reduced,roc,0.2126264651086008,0.3976906552094522
decision_tree,reduced,roc,0.21762611136004528,0.4035982814178303
decision_tree,reduced,roc,0.2225314246633493,0.4073576799140709
decision_tree,reduced,roc,0.2269886564629861,0.41514500537056925
decision_tree,reduced,roc,0.23045539230714807,0.42105263157894735
decision_tree,reduced,roc,0.2360210362474353,0.42910848549946295
decision_tree,reduced,roc,0.24083201660259887,0.4339419978517723
decision_tree,reduced,roc,0.246374077305851,0.4417293233082707
decision_tree,reduced,roc,0.2506426432092069,0.44575725026852847
decision_tree,reduced,roc,0.25559512298658116,0.4487110633727175
decision_tree,reduced,roc,0.25960427328255076,0.4532760472610097
decision_tree,reduced,roc,0.2629059264674669,0.45918367346938777
decision_tree,reduced,roc,0.2671509091337877,0.46348012889366275
decision_tree,reduced,roc,0.27082989411126573,0.46911922663802363
decision_tree,reduced,roc,0.27578237388863996,0.47824919441460795
decision_tree,reduced,roc,0.2803103553993821,0.4822771213748657
decision_tree,reduced,roc,0.2854515010730373,0.49006444683136413
decision_tree,reduced,roc,0.2892955687097611,0.4943609022556391
decision_tree,reduced,roc,0.29521496120557505,0.501342642320086
decision_tree,reduced,roc,0.29851661439049126,0.5037593984962406
decision_tree,reduced,roc,0.3035398438789708,0.5088614393125671
decision_tree,reduced,roc,0.3070065797231328,0.5153061224489796
decision_tree,reduced,roc,0.31273730632266583,0.5255102040816326
decision_tree,reduced,roc,0.32007169304058675,0.5343716433941997
decision_tree,reduced,roc,0.32464684102539915,0.5400107411385607
decision_tree,reduced,roc,0.33077848265452914,0.5461868958109559
decision_tree,reduced,roc,0.3346461335282881,0.5499462943071965
decision_tree,reduced,roc,0.3394099474093814,0.55343716433942
decision_tree,reduced,roc,0.34266443412022735,0.5571965628356605
decision_tree,reduced,roc,0.3479942456901634,0.564983888292159
decision_tree,reduced,roc,0.35339480697120484,0.5708915145005371
decision_tree,reduced,roc,0.3603282786595288,0.5784103114930182
decision_tree,reduced,roc,0.36556375728132445,0.5813641245972073
decision_tree,reduced,roc,0.3735820578732637,0.5886143931256713
decision_tree,reduced,roc,0.37886470296912955,0.5931793770139635
decision_tree,reduced,roc,0.38294460297620453,0.5958646616541353
decision_tree,reduced,roc,0.38959507582010705,0.6004296455424275
decision_tree,reduced,roc,0.39473622149376225,0.6082169709989259
decision_tree,reduced,roc,0.399594368322996,0.6146616541353384
decision_tree,reduced,roc,0.40388651746338705,0.6165413533834586
decision_tree,reduced,roc,0.41015965851472774,0.6216433941997852
decision_tree,reduced,roc,0.41466405678843477,0.6280880773361976
decision_tree,reduced,roc,0.42159752847675874,0.632921589688507
decision_tree,reduced,roc,0.4264792585430276,0.6369495166487648
decision_tree,reduced,roc,0.4314789047944721,0.6417830290010741
decision_tree,reduced,roc,0.436572883994057,0.6450053705692803
decision_tree,reduced,roc,0.44154894700846636,0.6493018259935553
decision_tree,reduced,roc,0.44671367591915667,0.6552094522019334
decision_tree,reduced,roc,0.45039266089663466,0.658968850698174
decision_tree,reduced,roc,0.4554630568591845,0.6611170784103115
decision_tree,reduced,roc,0.45999103836992666,0.6656820622986036
decision_tree,reduced,roc,0.4676791736433743,0.6723952738990333
decision_tree,reduced,roc,0.4723014881022569,0.6758861439312567
decision_tree,reduced,roc,0.47987170719052896,0.680719656283566
decision_tree,reduced,roc,0.48369219159021765,0.6839419978517723
decision_tree,reduced,roc,0.4904841638563309,0.6877013963480129
decision_tree,reduced,roc,0.49553097658184564,0.6925349087003222
decision_tree,reduced,roc,0.5007900384406764,0.6962943071965628
decision_tree,reduced,roc,0.506638681225385,0.702201933404941
decision_tree,reduced,roc,0.5110487465509516,0.7043501611170784
decision_tree,reduced,roc,0.5159776430912907,0.7089151450053706
decision_tree,reduced,roc,0.519916043676155,0.7107948442534908
decision_tree,reduced,roc,0.5250571893498102,0.7140171858216972
decision_tree,reduced,roc,0.5285946749050775,0.7164339419978518
decision_tree,reduced,roc,0.5351272315638045,0.7212674543501612
decision_tree,reduced,roc,0.5391599650968092,0.7247583243823845
decision_tree,reduced,roc,0.5454095229111148,0.7298603651987111
decision_tree,reduced,roc,0.5500318373699974,0.7328141783029001
decision_tree,reduced,roc,0.5552437327547579,0.7365735767991407
decision_tree,reduced,roc,0.5605499610876589,0.7403329752953813
decision_tree,reduced,roc,0.5641110298799613,0.7411385606874329
decision_tree,reduced,roc,0.5697002570572837,0.7470461868958109
decision_tree,reduced,roc,0.57507723510129,0.7534908700322234
decision_tree,reduced,roc,0.5798882154564535,0.7583243823845328
decision_tree,reduced,roc,0.5842746975449851,0.7604726100966702
decision_tree,reduced,roc,0.5915147513147655,0.7647690655209453
decision_tree,reduced,roc,0.5959012334032969,0.7674543501611171
decision_tree,reduced,roc,0.6017498761880056,0.7701396348012889
decision_tree,reduced,roc,0.6052873617432729,0.7722878625134264
decision_tree,reduced,roc,0.6098860929651204,0.7763157894736842
decision_tree,reduced,roc,0.6159941513572152,0.7798066595059077
decision_tree,reduced,roc,0.6199797184161498,0.7822234156820623
decision_tree,reduced,roc,0.6252859467490508,0.7843716433941997
decision_tree,reduced,roc,0.6291771808598449,0.7875939849624061
decision_tree,reduced,roc,0.6337287456076222,0.7900107411385607
decision_tree,reduced,roc,0.638610475673891,0.7943071965628357
decision_tree,reduced,roc,0.6451430323326179,0.7959183673469388
decision_tree,reduced,roc,0.6499775959248166,0.7994092373791621
decision_tree,reduced,roc,0.6560384878428414,0.8026315789473685
decision_tree,reduced,roc,0.6607551352498644,0.806390977443609
decision_tree,reduced,roc,0.6646935358347287,0.8096133190118152
decision_tree,reduced,roc,0.6694809329528572,0.8117615467239527
decision_tree,reduced,roc,0.6749994104190741,0.8139097744360902
decision_tree,reduced,roc,0.6817442162111171,0.8182062298603652
decision_tree,reduced,roc,0.6861778647737189,0.8208915145005371
decision_tree,reduced,roc,0.6920972572695329,0.8273361976369495
decision_tree,reduced,roc,0.69664882201731,0.8308270676691729
decision_tree,reduced,roc,0.7022144659575973,0.8361976369495167
decision_tree,reduced,roc,0.7063179492017074,0.8388829215896885
decision_tree,reduced,roc,0.7111996792679763,0.8426423200859291
decision_tree,reduced,roc,0.7160814093342452,0.8469387755102041
decision_tree,reduced,roc,0.7222366342004104,0.8523093447905478
decision_tree,reduced,roc,0.7269768648444686,0.855531686358754
decision_tree,reduced,roc,0.7316699290144565,0.8590225563909775
decision_tree,reduced,roc,0.7375893215102705,0.8625134264232008
decision_tree,reduced,roc,0.7424710515765394,0.8649301825993555
decision_tree,reduced,roc,0.7477772799094403,0.8703007518796992
decision_tree,reduced,roc,0.751574181072094,0.8729860365198711
decision_tree,reduced,roc,0.7568804094049949,0.8767454350161117
decision_tree,reduced,roc,0.7604886446713676,0.8791621911922664
