algo,feature_set,feature,importance,std,rank
bagging,full,REG_CITY_NOT_WORK_CITY,-0.00012537827366613242,9.291706896635321e-05,77
bagging,full,HOUR_APPR_PROCESS_START,-0.00016698706286491505,0.00022082256840640226,78
bagging,full,REGION_RATING_CLIENT,-0.00017206985037859223,6.36158947314333e-05,79
bagging,full,WEEKDAY_APPR_PROCESS_START,-0.00018092454070258167,0.00011171005053868435,80
bagging,full,WALLSMATERIAL_MODE,-0.0003010046282214518,0.0002832587303717369,81
bagging,full,NAME_TYPE_SUITE,-0.00032234709892607903,0.00021673973410655736,82
bagging,full,BASEMENTAREA_AVG,-0.0004863743637604112,0.0003430115922549376,83
bagging,full,DAYS_LAST_PHONE_CHANGE,-0.0006860304890926316,0.0005641956972014704,84
random_forest,reduced,credit_term_implied,0.02715783323293105,0.0025815942663320376,1
random_forest,reduced,age_years,0.01167501414794297,0.0034638287565424276,2
random_forest,reduced,bureau_credit_income_ratio,0.011431772268569262,0.003827677914603577,3
random_forest,reduced,employment_years,0.00962123292743573,0.0019567503500959108,4
random_forest,reduced,bureau_debt_income_ratio,0.009567958648486474,0.002229794872066983,5
random_forest,reduced,bureau_active_loan_count,0.0070585701746816495,0.003003140854022522,6
random_forest,reduced,employment_ratio,0.002326937237790838,0.0010982770750762696,7
random_forest,reduced,dti,0.0020148215543528856,0.0025682500285556242,8
random_forest,reduced,bureau_loan_count,0.001806338491081283,0.0007374626968871443,9
random_forest,reduced,bureau_no_record,0.0012435128543773545,0.0007017560943474498,10
random_forest,reduced,credit_income_ratio,0.0008434644791072976,0.001818437975690127,11
random_forest,reduced,bureau_overdue_income_ratio,0.0005222825359442407,0.00015582507465855425,12
random_forest,reduced,bureau_overdue_loan_share,0.00037839363146668914,8.728590942358253e-05,13
random_forest,reduced,children_ratio,0.00012002768526628849,0.00030663853808620767,14
random_forest,reduced,bureau_has_overdue,0.00011770051576458496,4.635934437211071e-05,15
random_forest,reduced,bureau_overdue_loan_count,2.946736427588137e-05,1.7798303040753174e-05,16
random_forest,full,EXT_SOURCE_2,0.05743503344353731,0.006750308408937142,1
random_forest,full,EXT_SOURCE_3,0.04227309791019935,0.0017905879086532698,2
random_forest,full,credit_term_implied,0.01379106247429412,0.004849216085894602,3
random_forest,full,EXT_SOURCE_1,0.0130329204575859,0.0018128644499379651,4
random_forest,full,credit_goods_markup,0.011403142810779938,0.0031376674742818428,5
random_forest,full,DAYS_EMPLOYED,0.011177602534456826,0.0035290213447112854,6
random_forest,full,NAME_EDUCATION_TYPE,0.007591169256365571,0.002461465964175143,7
random_forest,full,DAYS_BIRTH,0.004662748661657617,0.0016606849686037653,8
random_forest,full,CODE_GENDER,0.0030787193479035746,0.0007794745661170988,9
random_forest,full,OCCUPATION_TYPE,0.0025550027605778123,0.0005918398659784357,10
